index,links,pincode,bedrooms,bathroom,parking,furniture,carpet_area_sqft,agent,transaction_type,property_type,price,Latitude,Longitude,location,location_with_pincode
4186,https://www.magicbricks.com/propertyDetails/4-BHK-1600-Sq-ft-Multistorey-Apartment-FOR-Sale-Nana-Chowk-in-Mumbai&id=4d423639323331313037,400007,4,4,No covered parking,semi-furnished,1600,Not certified,Resale,Apartment,125000000,18.9667,72.8167,Tardeo,Tardeo - 400007
4187,https://www.magicbricks.com/propertyDetails/1-BHK-719-Sq-ft-Multistorey-Apartment-FOR-Sale-Kandivali-East-in-Mumbai&id=4d423638313936393839,400101,1,2,No covered parking,unfurnished,719,Not certified,New Property,Apartment,9400000,19.0499,73.259,Kandivali East,Kandivali East - 400101
4188,https://www.magicbricks.com/propertyDetails/1-BHK-230-Sq-ft-Multistorey-Apartment-FOR-Sale-Ambewadi-in-Mumbai&id=4d423638313931303137,400012,1,1,No covered parking,unfurnished,230,Not certified,Resale,Apartment,8700000,19.0,72.8333,Parel,Parel - 400012
4189,https://www.magicbricks.com/propertyDetails/1-BHK-450-Sq-ft-Multistorey-Apartment-FOR-Sale-Chembur-in-Mumbai&id=4d423638313930343131,400071,1,2,No covered parking,semi-furnished,450,Not certified,New Property,Apartment,6980000,19.0348,72.8929,Chembur,Chembur - 400071
4190,https://www.magicbricks.com/propertyDetails/1-BHK-320-Sq-ft-Multistorey-Apartment-FOR-Sale-Chembur-West-in-Mumbai&id=4d423638313930343133,400071,1,2,No covered parking,semi-furnished,320,Not certified,New Property,Apartment,6500000,19.0348,72.8929,Chembur,Chembur - 400071
4191,https://www.magicbricks.com/propertyDetails/1-BHK-320-Sq-ft-Multistorey-Apartment-FOR-Sale-Chembur-West-in-Mumbai&id=4d423638313930343135,400071,1,2,No covered parking,unfurnished,320,Not certified,New Property,Apartment,6500000,19.0348,72.8929,Chembur,Chembur - 400071
4192,https://www.magicbricks.com/propertyDetails/1-BHK-600-Sq-ft-Multistorey-Apartment-FOR-Sale-Chembur-West-in-Mumbai&id=4d423638313930343137,400071,1,2,No covered parking,unfurnished,600,Not certified,New Property,Apartment,6900000,19.0348,72.8929,Chembur,Chembur - 400071
4193,https://www.magicbricks.com/propertyDetails/1-BHK-320-Sq-ft-Multistorey-Apartment-FOR-Sale-Chembur-in-Mumbai&id=4d423638313930343139,400071,1,2,No covered parking,semi-furnished,320,Not certified,New Property,Apartment,6990000,19.0348,72.8929,Chembur,Chembur - 400071
4194,https://www.magicbricks.com/propertyDetails/1-BHK-370-Sq-ft-Multistorey-Apartment-FOR-Sale-Byculla-in-Mumbai&id=4d423638313930343433,400010,1,1,No covered parking,unfurnished,370,Not certified,New Property,Apartment,15000000,18.3667,72.9333,Mazgaon,Mazgaon - 400010
4195,https://www.magicbricks.com/propertyDetails/1-BHK-580-Sq-ft-Multistorey-Apartment-FOR-Sale-Byculla-West-in-Mumbai&id=4d423638313930343437,400011,1,2,No covered parking,unfurnished,580,Not certified,New Property,Apartment,15000000,18.9833,72.8333,Agripada,Agripada - 400011
4196,https://www.magicbricks.com/propertyDetails/1-BHK-550-Sq-ft-Multistorey-Apartment-FOR-Sale-Kamgar-Nagar-in-Mumbai&id=4d423637373935393639,400024,1,1,No covered parking,semi-furnished,390,Not certified,Resale,Apartment,2850000,18.986,72.8259,Nehru Nagar (Mumbai),Nehru Nagar (Mumbai) - 400024
4197,https://www.magicbricks.com/propertyDetails/1-BHK-750-Sq-ft-Multistorey-Apartment-FOR-Sale-Poonam-Sagar-in-Mumbai&id=4d423637373936353737,401107,1,1,No covered parking,furnished,550,Not certified,Resale,Apartment,5780000,19.2836,72.8675,Mira,Mira - 401107
4198,https://www.magicbricks.com/propertyDetails/1-BHK-602-Sq-ft-Multistorey-Apartment-FOR-Sale-Rambaug-in-Mumbai&id=4d423639303132363933,400072,1,1,No covered parking,semi-furnished,602,Not certified,Resale,Apartment,12500000,19.0737,72.9009,Vihar Road,Vihar Road - 400072
4199,https://www.magicbricks.com/propertyDetails/1-BHK-710-Sq-ft-Multistorey-Apartment-FOR-Sale-Virar-in-Mumbai&id=4d423638313434373431,401303,1,2,No covered parking,semi-furnished,710,Not certified,Resale,Apartment,3500000,20.5196,73.09731000000001,Tilher,Tilher - 401303
4200,https://www.magicbricks.com/propertyDetails/1-BHK-220-Sq-ft-Multistorey-Apartment-FOR-Sale-Goregaon-East-in-Mumbai&id=4d423638313434383133,400063,1,1,No covered parking,unfurnished,220,Not certified,Resale,Apartment,5500000,19.1624,72.8694,Sharma Estate,Sharma Estate - 400063
4201,https://www.magicbricks.com/propertyDetails/1-BHK-525-Sq-ft-Multistorey-Apartment-FOR-Sale-Goregaon-East-in-Mumbai&id=4d423638313434383231,400063,1,1,No covered parking,semi-furnished,525,Not certified,Resale,Apartment,6750000,19.1624,72.8694,Sharma Estate,Sharma Estate - 400063
4202,https://www.magicbricks.com/propertyDetails/1-BHK-450-Sq-ft-Multistorey-Apartment-FOR-Sale-Gokuldham-in-Mumbai&id=4d423638313434383233,400063,1,1,No covered parking,semi-furnished,450,Not certified,Resale,Apartment,6500000,19.1624,72.8694,Sharma Estate,Sharma Estate - 400063
4203,https://www.magicbricks.com/propertyDetails/1-BHK-450-Sq-ft-Multistorey-Apartment-FOR-Sale-Gokuldham-in-Mumbai&id=4d423638313434383235,400063,1,1,No covered parking,unfurnished,450,Not certified,Resale,Apartment,6500000,19.1624,72.8694,Sharma Estate,Sharma Estate - 400063
4204,https://www.magicbricks.com/propertyDetails/1-BHK-620-Sq-ft-Multistorey-Apartment-FOR-Sale-Chandivali-in-Mumbai&id=4d423638313434313337,400072,1,1,No covered parking,furnished,620,Not certified,Resale,Apartment,12200000,19.0737,72.9009,Vihar Road,Vihar Road - 400072
4205,https://www.magicbricks.com/propertyDetails/1-BHK-550-Sq-ft-Multistorey-Apartment-FOR-Sale-Chandivali-in-Mumbai&id=4d423638313434313339,400072,1,2,No covered parking,unfurnished,550,Not certified,Resale,Apartment,11500000,19.0737,72.9009,Vihar Road,Vihar Road - 400072
4206,https://www.magicbricks.com/propertyDetails/1-BHK-650-Sq-ft-Multistorey-Apartment-FOR-Sale-Chandivali-in-Mumbai&id=4d423638313434313431,400072,1,2,No covered parking,semi-furnished,650,Not certified,Resale,Apartment,12200000,19.0737,72.9009,Vihar Road,Vihar Road - 400072
4207,https://www.magicbricks.com/propertyDetails/1-BHK-650-Sq-ft-Multistorey-Apartment-FOR-Sale-Chandivali-in-Mumbai&id=4d423638313434313433,400072,1,2,No covered parking,unfurnished,650,Not certified,Resale,Apartment,12500000,19.0737,72.9009,Vihar Road,Vihar Road - 400072
4208,https://www.magicbricks.com/propertyDetails/1-BHK-660-Sq-ft-Multistorey-Apartment-FOR-Sale-Goregaon-West-in-Mumbai&id=4d423638313434323235,400104,1,1,No covered parking,semi-furnished,660,Not certified,Resale,Apartment,17500000,19.0499,73.259,Motilal Nagar,Motilal Nagar - 400104
